&##&promotion.look_at_the_gift&##&,&##&查看赠品&##&
&##&promotion.the_promotion_rules_should_be_limited_to&##&,&##&促销规则应限制在&##&
&##&promotion.the_price_of_the_cheapest_commodity_on_the_platform_is&##&,&##&件中平台价最便宜的商品价格为&##&
&##&promotion.add_promotional_product&##&,&##&添加促销产品&##&
&##&京东开始时间提示&##&,&##&京东到家规则：活动开始日期要在当前日期的一个小时后&##&
&##&promotion.preferential_ladder&##&,&##&优惠阶梯&##&
&##&promotion.cell_properties&##&,&##&单元格属性&##&
&##&该平台不能领取该券&##&,&##&该平台不能领取该券&##&
&##&满${X}件送赠品&##&,&##&满${X}件送赠品&##&
&##&promotion.get_some_soy_sauce&##&,&##&打酱油&##&
&##&promotion.new_mutual_exclusion&##&,&##&新增互斥&##&
&##&promotion.page&##&,&##&页&##&
&##&promotion.whether_to_confirm_the_termination_of_the_activity&##&,&##&是否确认终止该活动&##&
&##&promotion.quantity_of_active_goods&##&,&##&活动商品数量&##&
&##&promotion.please_click_the_select&##&,&##&请点击选择&##&
&##&promotion.delete_table&##&,&##&删除表格&##&
&##&promotion.export_goods_to_be_set_up_for_settlement_price&##&,&##&导出待设置结算价商品&##&
&##&promotion.continue_to_set_up&##&,&##&继续设置&##&
&##&promotion.promotion_price&##&,&##&促销价&##&
&##&promotion.great_surprise&##&,&##&大惊&##&
&##&promotion.customizable&##&,&##&可定制&##&
&##&序号&##&,&##&序号&##&
&##&promotion.the_number_of_active_commodities_must_be_positive_integers&##&,&##&活动商品数量必须为正整数&##&
&##&promotion.gift_coupon_check&##&,&##&所选优惠券适用店铺范围与活动参与店铺范围不同，请确认是否提交选择？&##&
&##&promotion.details_of_promotional_activities&##&,&##&促销活动详情&##&
&##&promotion.giggle&##&,&##&傻笑&##&
&##&promotion.the_recommended_gift_sales_area_should_be_consistent_with_the_added_promotional_items.&##&,&##&建议选择的赠品销售区要和已添加的促销商品保持一致&##&
&##&promotion.element_path&##&,&##&元素路径&##&
&##&promotion.single_order_limit_voucher_number&##&,&##&单个订单限用券数&##&
&##&满%s元换购商品&##&,&##&满%s元换购商品&##&
&##&活动未开始&##&,&##&活动未开始&##&
&##&promotion.look_at_the_goods&##&,&##&查看商品&##&
&##&promotion.promotion_of_commodity_selection&##&,&##&促销商品选择&##&
&##&查询不到促销活动&##&,&##&查询不到促销活动&##&
&##&promotion.the_category_of_prizes_can_not_be_empty&##&,&##&奖品类别不能为空&##&
&##&promotion.coupon_center&##&,&##&优惠券中心&##&
&##&promotion.hierarchy&##&,&##&层级&##&
&##&promotion.fixed_head&##&,&##&固定头部&##&
&##&审核不通过&##&,&##&审核不通过&##&
&##&promotion.the_purchase_price_should_be_the_most&##&,&##&换购价格应为最多&##&
&##&promotion.obtaining_plain_text_with_formatting&##&,&##&获得带格式的纯文本&##&
&##&没有权限!&##&,&##&没有权限!&##&
&##&promotion.student_ticket&##&,&##&生券&##&
&##&promotion.one-on-one&##&,&##&一对一&##&
&##&商家或门店商品不存在&##&,&##&商家或店铺商品不存在&##&
&##&promotion.add_a_background_picture&##&,&##&添加背景图片&##&
&##&promotion.the_collage_price_can_not_be_empty&##&,&##&拼团价不能为空&##&
&##&promotion.add_integral_goods&##&,&##&添加积分商品&##&
&##&promotion.the_upload_function_will_not_be_used_normally&##&,&##&上传功能将不能正常使用&##&
&##&满减&##&,&##&满减&##&
&##&promotion.burn_incense&##&,&##&烧香&##&
&##&promotion.related_promotion&##&,&##&关联促销&##&
&##&promotion.Click_OK_to_delete_corresponding_channel_products&##&,&##&点击确定将删除对应渠道商品&##&
&##&promotion.the_number_of_individual_purchases_must_not_be_greater_than_the_total_number_of_purchases&##&,&##&个人限购数不能大于总限购数&##&
&##&promotion.whether_or_not_to_exclude_coupons_must_be_chosen&##&,&##&是否排斥优惠券必须选择&##&
&##&promotion.delete_table_title_columns&##&,&##&删除表格标题列&##&
&##&卡面额不能为空&##&,&##&卡面额不能为空&##&
&##&promotion.continue_to_add_full_promotion&##&,&##&继续添加满额促销活动&##&
&##&promotion.diagrams_or_diagrams_will_also_be_compatible_with_the_current_document_appearance&##&,&##&图表或关系图也将与当前的文档外观协调一致&##&
&##&promotion.total&##&,&##&合计&##&
&##&promotion.random_face_value_interval&##&,&##&随机面值区间&##&
&##&套餐活动设置促销规则异常&##&,&##&套餐活动设置促销规则异常&##&
&##&免单积分&##&,&##&免单积分&##&
&##&promotion.current_screening_number&##&,&##&当前筛选人数&##&
&##&promotion.inner_mongolia&##&,&##&内蒙古&##&
&##&回退产品级别促销限制（全网/个人）数量异常.&##&,&##&回退产品级别促销限制（全网/个人）数量异常.&##&
&##&渠道不能为空&##&,&##&渠道不能为空&##&
&##&promotion.notes&##&,&##&注&##&
&##&，还差${L}件&##&,&##&，还差${L}件&##&
&##&文件上传格式必须为jpg、png、jpeg或者bmp&##&,&##&文件上传格式必须为jpg、png、jpeg或者bmp&##&
&##&查询卡券详情出错&##&,&##&查询卡券详情出错&##&
&##&promotion.mutex_name&##&,&##&互斥商品名称&##&
&##&promotion.coercion&##&,&##&强制成团&##&
&##&promotion.the_validity_period_of_coupons_can_not_be_empty&##&,&##&优惠券有效期不能为空&##&
&##&promotion.single_daily_limit&##&,&##&单每日限购数&##&
&##&不要太贪心哦&##&,&##&不要太贪心哦&##&
&##&promotion.priority&##&,&##&优先级&##&
&##&promotion.flow_time&##&,&##&流水时间&##&
&##&promotion.issuing_user_cell_phone_number&##&,&##&发放用户手机号&##&
&##&promotion.greater_than_equal_to_or_equal_to&##&,&##&大于等于&##&
&##&promotion.product_restriction&##&,&##&产品限制&##&
&##&promotion.the_upper_limit_of_the_number_of_users_daily_prizes_must_be_positive_integers&##&,&##&用户每日抽奖次数上限必须为正整数&##&
&##&promotion.main_commodity_group&##&,&##&主商品组&##&
&##&promotion.key_into_the_major&##&,&##&键入所学专业&##&
&##&promotion.importing_goods_from_files&##&,&##&从文件导入商品&##&
&##&创建推荐码活动&##&,&##&创建推荐码活动&##&
&##&promotion.city,_province&##&,&##&词穷省城市&##&
&##&每第%s件%s元&##&,&##&每第%s件%s元&##&
&##&promotion.the_rules_must_be_complete&##&,&##&规则必须填写完整&##&
&##&promotion.custom_start_time_input_is_incorrect&##&,&##&自定义开始时间输入有误&##&
&##&promotion.the_collage_list_has_not_reached_the_number_of_people.&##&,&##&该拼团单未达到成团人数&##&
&##&promotion.an_active_platform_must_be_selected&##&,&##&必须选择活动平台&##&
&##&promotion.preferential_setting_should_be_the_most&##&,&##&优惠设置应为最多&##&
&##&使用条件&##&,&##&使用条件&##&
&##&promotion.the_selected_commodities_amount_payable_input_error&##&,&##&选中商品补差金额输入有误&##&
&##&promotion.right_floating&##&,&##&右浮动&##&
&##&promotion.open_the_mouth_and_show_the_teeth&##&,&##&呲牙&##&
&##&插入拼团团员订单异常.&##&,&##&插入拼团团员订单异常.&##&
&##&promotion.sahua&##&,&##&撒花&##&
&##&各时间段促销商品不能为空！&##&,&##&各时间段促销商品不能为空！&##&
&##&关闭免单活动异常!&##&,&##&关闭免单活动异常!&##&
&##&promotion.the_starting_price_of_the_selected_goods_is_too_big&##&,&##&选中商品起始价太大&##&
&##&拼团活动只支持老用户&##&,&##&拼团活动只支持老用户&##&
&##&文件上传成功&##&,&##&文件上传成功&##&
&##&promotion.emptying_color&##&,&##&清空颜色&##&
&##&promotion.determine_the_coupon_to_be_abandoned&##&,&##&确定要作废选择的优惠券吗&##&
&##&promotion.new_brand&##&,&##&新增品牌&##&
&##&promotion.the_number_of_single_channel_purchases_in_the_store_should_be_less_than_the_number_of_purchases_in_the_single_channel&##&,&##&店铺单渠道限购数应小于商家单渠道限购数，请重新填写&##&
&##&追加失败&##&,&##&追加失败&##&
&##&promotion.what_is&##&,&##&什么是&##&
&##&查询全场券记录（mkt_generate_batch）异常&##&,&##&查询全场券记录（mkt_generate_batch）异常&##&
&##&promotion.add_participation&##&,&##&添加参与&##&
&##&promotion.start_monthly&##&,&##&开始每月第&##&
&##&promotion.it_has_become_one_of_the_most_influential_consumer_festivals_throughout_china_and_in_the_world&##&,&##&已经成为全中国乃至全世界范围内最具影响力的消费节日之一&##&
&##&promotion.input_growth_value&##&,&##&输入成长值数量&##&
&##&promotion.query_criteria&##&,&##&查询条件&##&
&##&promotion.cake&##&,&##&蛋糕&##&
&##&报名活动不存在&##&,&##&报名活动不存在&##&
&##&预热时间&##&,&##&预热时间&##&
&##&promotion.please_enter_the_number_of_people_who_need_to_be_sampled&##&,&##&请输入需要抽样的人数&##&
&##&promotion.belonged_merchant_code&##&,&##&所属商家编码&##&
&##&参数错误&##&,&##&参数错误&##&
&##&您的砍价单数量已达到上限，请尝试对其他商品砍价&##&,&##&您的砍价单数量已达到上限，请尝试对其他商品砍价&##&
&##&满%s元%s折&##&,&##&满%s元%s折&##&
&##&promotion.execute_once&##&,&##&执行一次&##&
&##&promotion.the_delivery_time_should_not_be_less_than_the_start_time_of_the_end_payment&##&,&##&发货时间不能小于尾款支付开始时间&##&
&##&promotion.if_it_does_not_come_into_force&##&,&##&如不生效&##&
&##&promotion.a_single&##&,&##&单一&##&
&##&promotion.selection_method&##&,&##&选品范围&##&
&##&promotion.please_choose_the_goods_to_be_deleted&##&,&##&请选择要删除的商品&##&
&##&promotion.additional_registration_goods&##&,&##&追加报名商品&##&
&##&promotion.celebrate&##&,&##&庆祝&##&
&##&满%s元,可换购以下任意%s件商品&##&,&##&满%s元,可换购以下任意%s件商品&##&
&##&promotion.number_of_winners&##&,&##&中奖人数&##&
&##&promotion.the_starting_time_of_the_payment_of_the_deposit_can_not_be_empty&##&,&##&定金支付开始时间不能为空&##&
&##&购买满%s元打%s折&##&,&##&购买满%s元打%s折&##&
&##&promotion.the_use_of_coupon_conditions_for_consumers_to_be_used&##&,&##&供消费者领取后满足优惠券条件时使用&##&
&##&；&##&,&##&；&##&
&##&promotion.the_start_time_of_query_update_cannot_be_greater_than_the_end_time&##&,&##&查询更新开始时间不能大于结束时间&##&
&##&promotion.peeping&##&,&##&偷窥&##&
&##&promotion.baidu_map_custom_tool&##&,&##&百度地图自定义工具&##&
&##&promotion.the_pre-sale&##&,&##&预售&##&
&##&promotion.only_support&##&,&##&仅支持&##&
&##&promotion.the_selected_coupons_cant_be_abandoned&##&,&##&选择的优惠券都不能作废&##&
&##&promotion.within_the_character&##&,&##&字符以内&##&
&##&您已下过单了，但还未支付哦~&##&,&##&您已下过单了，但还未支付哦~&##&
&##&promotion.voucher_success&##&,&##&生券成功&##&
&##&，&##&,&##&，&##&
&##&promotion.next_step&##&,&##&下一步&##&
&##&promotion.activity_type&##&,&##&活动类型&##&
&##&云pos同步日志数据出错!&##&,&##&云pos同步日志数据出错!&##&
&##&查不到该抽奖活动&##&,&##&查不到该抽奖活动&##&
&##&promotion.please_try_to_upgrade&##&,&##&请尝试升级&##&
&##&promotion.the_choice_of_goods_can_not_be_empty&##&,&##&商品选择方式不能为空&##&
&##&promotion.commodity_stock&##&,&##&商品库存&##&
&##&分页参数错误&##&,&##&分页参数错误&##&
&##&查询用户详情出错&##&,&##&查询用户详情出错&##&
&##&promotion.quarter&##&,&##&季度&##&
&##&推荐码活动详情&##&,&##&推荐码活动详情&##&
&##&promotionProductCount不能为空&##&,&##&promotionProductCount不能为空&##&
&##&订单限购&##&,&##&订单限购&##&
&##&promotion.please_enter_a_positive_number_and_enter_a_maximum_of_two_decimal_numbers&##&,&##&请输入正数且最多输入两位小数&##&
&##&promotion.do_you_want_to_check_and_approve&##&,&##&确定要审核通过吗&##&
&##&promotion.the_total_number_of_channelIndividualLimit_purchases_can_not_be_empty&##&,&##&个人单渠道限购数不能为空&##&
&##&promotion.a_single_number_of_restrictions&##&,&##&免单人数限制在&##&
&##&新增组合阶梯出错&##&,&##&新增组合阶梯出错&##&
&##&promotion.information_details&##&,&##&信息详情&##&
&##&promotion.load_all_the_stores&##&,&##&加载全部商家&##&
&##&full_reduce_icon_url&##&,&##&https://cdn.oudianyun.com/dev/back-promotion-web/1541055231723_20.829040092310393_7839ad9a-aca4-4d7c-af9e-c729b71a29a7.png&##&
&##&promotion.collage_price_setting_error&##&,&##&拼团价格设置错误&##&
&##&promotion.single_maximum_exemption&##&,&##&单笔最高免单金额&##&
&##&promotion.complete&##&,&##&完成&##&
&##&promotion.have_been_cancelled&##&,&##&已取消&##&
&##&promotion.order_quantity&##&,&##&订单量的&##&
&##&promotion.whether_to_confirm_the_release_of_the_activity&##&,&##&是否确认发布该活动&##&
&##&promotion.product_details_page&##&,&##&商详页&##&
&##&promotion.only_self_-_operated&##&,&##&仅自营&##&
&##&promotion.commission_should_not_be_empty&##&,&##&佣金不能为空&##&
&##&promotion.starting_at_most_input&##&,&##&砍价起始最多输入&##&
&##&promotion.additional_content&##&,&##&追加内容&##&
&##&promotion.completely_split_cell&##&,&##&完全拆分单元格&##&
&##&promotion.delete_the_table_title_line&##&,&##&删除表格标题行&##&
&##&promotion.transversal_repetition&##&,&##&横向重复&##&
&##&promotion.please_choose_the_goods_to_be_set_up&##&,&##&请选择需要设置的商品&##&
&##&promotion.the_participants_must_be_selected&##&,&##&必须选择参与对象&##&
&##&promotion.new_business&##&,&##&新增商家&##&
&##&promotion.please_choose_a_store_that_needs_to_be_deleted&##&,&##&请选择需要删除的商家&##&
&##&定金抵扣金额&##&,&##&定金抵扣金额&##&
&##&promotion.purchase&##&,&##&购买&##&
&##&promotion.special_input_is_wrong&##&,&##&特价输入有误&##&
&##&promotion.crazy&##&,&##&抓狂&##&
&##&promotion.new_purchase&##&,&##&新增换购&##&
&##&查询免单订单汇总信息异常!&##&,&##&查询免单订单汇总信息异常!&##&
&##&promotion.prize_category&##&,&##&奖品类别&##&
&##&promotion.distribution_model&##&,&##&分销模式&##&
&##&商品库存不足&##&,&##&商品库存不足&##&
&##&满&##&,&##&满&##&
&##&promotion.inadequacy_of_parameters&##&,&##&参数不足&##&
&##&promotion.details_of_price_cutting_activities&##&,&##&砍价活动详情&##&
&##&promotion.decrease_each_full_layer&##&,&##&每满一层减一次&##&
&##&元,可换购以下任意&##&,&##&元,可换购以下任意&##&
&##&promotion.the_total_number_of_channelStoreLimit_purchases_must_be_positive_integers&##&,&##&店铺单渠道限购数必须为正整数&##&
&##&promotion.every_wednesday&##&,&##&每周三&##&
&##&promotion.self_voucher&##&,&##&自营券&##&
&##&报名时间&##&,&##&报名时间&##&
&##&查询抽奖奖项异常&##&,&##&查询抽奖奖项异常&##&
&##&promotion.after&##&,&##&后&##&
&##&最多输入100个字&##&,&##&最多输入100个字&##&
&##&promotion.mathematical_characters&##&,&##&数学字符&##&
&##&promotion.number_of_members&##&,&##&会员数&##&
&##&promotion.name_of_the_bargain&##&,&##&砍价活动名称&##&
&##&promotion.sales_promotion&##&,&##&促销活动&##&
&##&promotion.retail_sales_cant_be_larger_than_the_original_price&##&,&##&零售特价不能大于原价&##&
&##&promotion.package&##&,&##&套餐&##&
&##&promotion.anhui&##&,&##&安徽&##&
&##&promotion.total_number_of_activities&##&,&##&活动总限购数&##&
&##&promotion.do_you_delete_this_product&##&,&##&是否删除此商品&##&
&##&文件上传失败&##&,&##&文件上传失败&##&
&##&promotion.Individual_single_channel_purchase_limit_can_not_be_greater_than_merchant_single_channel_purchase_limit&##&,&##&个人单渠道限购不能大于商家单渠道限购&##&
&##&满%s元,送以下优惠券&##&,&##&满%s元,送以下优惠券&##&
&##&promotion.personal_single_channel_purchase&##&,&##&个人单渠道限购&##&
&##&优惠券未分享或者已被领取&##&,&##&优惠券未分享或者已被领取&##&
&##&promotion.the_current_page_is_not_required_to_fill&##&,&##&当前页面存在必填项未填&##&
&##&promotion.whether_or_not_to_delete_the_picture&##&,&##&是否删除图片&##&
&##&promotion.continue_adding_a_package_discount&##&,&##&继续添加套餐优惠&##&
&##&promotion.the_result_of_judgment_is&##&,&##&判断结果为&##&
&##&创建砍价活动失败&##&,&##&创建砍价活动失败&##&
&##&promotion.the_number_of_vouchers_supported_by_an_order_share&##&,&##&表示一个订单分享后支持的领券个数&##&
&##&查询互斥商品列表失败&##&,&##&查询互斥商品列表失败&##&
&##&promotion.select&##&,&##&全选&##&
&##&promotion.hematemesis&##&,&##&吐血&##&
&##&promotion.store_area&##&,&##&店铺地区&##&
&##&promotion.correspondence&##&,&##&对应关系&##&
&##&减%s元&##&,&##&减%s元&##&
&##&promotion.uploading&##&,&##&正在上传&##&
&##&还差%s件&##&,&##&还差%s件&##&
&##&更改券活动信息异常&##&,&##&更改券活动信息异常&##&
&##&promotion.the_time_period_is_not_set_or_set_wrong&##&,&##&时间段未设置或设置有误&##&
&##&promotion.yao_month&##&,&##&月曜&##&
&##&promotion.the_cut-off_price_of_the_price_is_lower_than_the_activity_settlement_price&##&,&##&砍价截止价低于了活动结算价&##&
&##&promotion.whether_to_reset_the_rules_of_profit&##&,&##&是否重设分利规则&##&
&##&查询券渠道信息出错&##&,&##&查询券渠道信息出错&##&
&##&删除券活动异常&##&,&##&删除券活动异常&##&
&##&promotion.rose&##&,&##&玫瑰&##&
&##&状态流转异常&##&,&##&状态流转异常&##&
&##&满X件换购商品&##&,&##&满X件换购商品&##&
&##&promotion.flying_dance&##&,&##&飞天舞&##&
&##&promotion.right_alignment&##&,&##&右对齐&##&
&##&查询优惠券信息异常&##&,&##&查询优惠券信息异常&##&
&##&promotion.the_limit_of_the_number_of_whole_net_gifts_must_be_a_positive_integer&##&,&##&全网赠品数限制必须为正整数&##&
&##&查询限购贵则列表失败&##&,&##&查询限购贵则列表失败&##&
&##&promotion.the_end_time_of_the_sale_will_not_be_empty&##&,&##&销售生效结束时间不能为空&##&
&##&promotion.eye_poking&##&,&##&戳眼&##&
&##&每满%s赠%s&##&,&##&每满%s赠%s&##&
&##&promotion.cancellation&##&,&##&取消中&##&
&##&promotion.clear_the_air&##&,&##&清除空行&##&
&##&promotion.rules_must_fill_in_valid_numbers&##&,&##&规则必须填写有效数字&##&
&##&库存量&##&,&##&库存量&##&
&##&promotion.random_start_amount_cannot_be_used&##&,&##&随机开始金额不能为&##&
&##&promotion.the_new_price_of_the_selected_commodity_is_incorrectly_entered&##&,&##&选中商品新售价输入有误&##&
&##&promotion.participated_store&##&,&##&活动店铺&##&
&##&promotion.no_winning_note_can_not_be_empty&##&,&##&未中奖说明不能为空&##&
&##&promotion.total_activity_limit_purchase&##&,&##&活动限购总数&##&
&##&promotion.the_total_amount_of_issuance_should_be_limited_to&##&,&##&发行总量应限制在&##&
&##&待提交&##&,&##&待提交&##&
&##&promotion.the_same_is_not_the_same.&##&,&##&主赠相同不能为空&##&
&##&promotion.title&##&,&##&标题&##&
&##&第%s件%s元&##&,&##&第%s件%s元&##&
&##&promotion.product_category&##&,&##&产品类目&##&
&##&promotion.the_type_of_gift_can_not_be_empty&##&,&##&赠品类型不能为空&##&
&##&promotion.hold_up&##&,&##&套牢&##&
&##&promotion.table_style&##&,&##&表格样式&##&
&##&促销信息为空！&##&,&##&促销信息为空！&##&
&##&promotion.preferential_description&##&,&##&优惠说明&##&
&##&promotion.enrolment_type&##&,&##&报名活动类型&##&
&##&查询用户类型信息异常&##&,&##&查询用户类型信息异常&##&
&##&promotion.activity_priority_should_be_limited_to&##&,&##&活动优先级应限制在&##&
&##&发放手机号&##&,&##&发放手机号&##&
&##&promotion.failure_record_number&##&,&##&失败记录数&##&
&##&拼团活动审核通过失败，&##&,&##&拼团活动审核通过失败，&##&
&##&promotion.add_coupons&##&,&##&添加优惠券&##&
&##&promotion.type_of_store&##&,&##&商家类型&##&
&##&promotion.single_maximum_optional&##&,&##&单次最多可选&##&
&##&有效时间&##&,&##&有效时间&##&
&##&promotion.the_67_character_is_one&##&,&##&67字为一条&##&
&##&promotion.current_courtesy_card&##&,&##&当前生效的礼金卡卡种&##&
&##&参数不合法&##&,&##&参数不合法&##&
&##&请选择添加的商品&##&,&##&请选择添加的商品&##&
&##&promotion.to_void&##&,&##&作废&##&
&##&promotion.whether_or_not_to_exclude_coupons&##&,&##&是否排斥优惠券&##&
&##&满%s元减%s元&##&,&##&满%s元减%s元&##&
&##&promotion.search_for_songs&##&,&##&搜索歌曲&##&
&##&promotion.region&##&,&##&地区&##&
&##&promotion.ladder_price_dimension&##&,&##&阶梯价维度&##&
&##&promotion.combined_promotion&##&,&##&组合促销&##&
&##&每满%s元送优惠券&##&,&##&每满%s元送优惠券&##&
&##&promotion.subtitle&##&,&##&子标题&##&
&##&警告&##&,&##&警告&##&
&##&获取支付方式配置异常&##&,&##&获取支付方式配置异常&##&
&##&promotion.spot&##&,&##&点&##&
&##&promotion.the_membership_card_can_not_be_empty&##&,&##&会员卡种不能为空&##&
&##&promotion.self-made_goods&##&,&##&自营商品&##&
&##&promotion.upload_number_limit&##&,&##&上传个数限制&##&
&##&promotion.unable_to_locate_to_this_address&##&,&##&无法定位到该地址&##&
&##&promotion.the_start_time_and_the_end_time_cannot_be_empty&##&,&##&开始时间和结束时间不能为空&##&
&##&promotion.advance_sale_promotion&##&,&##&预售促销&##&
&##&x_yuan_y_jian_combined_icon_url&##&,&##&https://cdn.oudianyun.com/dev/back-promotion-web/1541056207217_17.623838146776915_bbeb6b8c-8b1c-472e-93f7-5db17ffc2436.png&##&
&##&promotion.data_quantity&##&,&##&数据量&##&
&##&参团人数已满.&##&,&##&参团人数已满.&##&
&##&promotion.the_validity_period_of_coupons_must_be_positive_integers&##&,&##&优惠券有效期必须为正整数&##&
&##&promotion.continue_to_add_a_single_activity&##&,&##&继续添加免单活动&##&
&##&预售定金不能为零，请检查！&##&,&##&预售定金不能为零，请检查！&##&
&##&promotion.do_you_want_to_get_rid_of_this_coupon&##&,&##&确定要作废此优惠券吗&##&
&##&promotion.a_look_at_the_list&##&,&##&来个列表瞅瞅&##&
&##&promotion.the_number_of_personal_limits_should_be_limited_to&##&,&##&个人限领数应限制在&##&
&##&promotion.press&##&,&##&按&##&
&##&promotion.the_name_of_the_task_cannot_be_empty&##&,&##&任务名称不能为空&##&
&##&,可享&##&,&##&,可享&##&
&##&promotion.flowers&##&,&##&送花&##&
&##&promotion.have_been_abandoned&##&,&##&已作废&##&
&##&抽奖列表导出,参数转换异常&##&,&##&抽奖列表导出,参数转换异常&##&
&##&promotion.specification&##&,&##&规格&##&
&##&promotion.the_collage_single_number_must_be_a_positive_integer&##&,&##&拼团单号必须为正整数&##&
&##&promotion.package_promotion&##&,&##&套餐促销&##&
&##&promotion.shock&##&,&##&震荡&##&
&##&拼团活动不存在&##&,&##&拼团活动不存在&##&
&##&promotion.end_payment_end_time_input_is_incorrect&##&,&##&尾款支付结束时间输入有误&##&
&##&promotion.file_upload_failure&##&,&##&个文件上传失败&##&
&##&满%s件,送以下优惠券&##&,&##&满%s件,送以下优惠券&##&
&##&promotion.continuing_review&##&,&##&继续审核&##&
&##&查询成功&##&,&##&查询成功&##&
&##&promotion.delete_the_background&##&,&##&删除背景&##&
&##&财务审核不通过&##&,&##&财务审核不通过&##&
&##&promotion.a_picture_within.&##&,&##&以内的图片&##&
&##&对应关系&##&,&##&对应关系&##&
&##&没有要报名的商品&##&,&##&没有要报名的商品&##&
&##&promotion.continue_to_add_pre_sale_promotions&##&,&##&继续添加预售促销活动&##&
&##&promotion.zhejiang&##&,&##&浙江&##&
&##&promotion.have_a_good_pre_sale_environment&##&,&##&拥有良好的预售环境&##&
&##&promotion.birthday_coupon&##&,&##&生日券&##&
&##&promotion.to_start&##&,&##&待开始&##&
&##&promotion.preferential_label&##&,&##&优惠标签&##&
&##&参数错误!&##&,&##&参数错误!&##&
&##&promotion.the_number_in_the_range&##&,&##&范围内的数字&##&
&##&购买商品金额未达到用券门槛&##&,&##&购买商品金额未达到用券门槛&##&
&##&promotion.continue_to_add_price_activities&##&,&##&继续添加砍价活动&##&
&##&promotion.the_difference_between_the_end_time_of_the_activity_and_the_starting_time_of_the_activity_does_not_&##&,&##&活动结束时间与活动开始时间相差不超过&##&
&##&promotion.set_the_main_product_range&##&,&##&设置主品范围&##&
&##&promotion.reward_valid_date&##&,&##&商品库奖品领奖有效期&##&
&##&报名活动已过期&##&,&##&报名活动已过期&##&
&##&promotion.the_scope_of_products&##&,&##&选品范围&##&
&##&promotion.the_price_of_the_package_should_be_less_than_the_retail_price&##&,&##&套餐价填应小于零售价&##&
&##&promotion.product_scope&##&,&##&产品范围&##&
&##&未知的状态.&##&,&##&未知的状态.&##&
&##&promotion.continue_to_add_collage_activities&##&,&##&继续添加拼团活动&##&
&##&promotion.vertigo&##&,&##&眩晕&##&
&##&promotion.third_party_account_type&##&,&##&第三方账号类型&##&
&##&promotion.the_use_threshold_of_coupons_is_less_than_the_vouchers_face_value&##&,&##&优惠券使用门槛小于优惠券面值&##&
&##&promotion.sales_must_be_less_than&##&,&##&销量必须小于&##&
&##&promotion.time_of_opening&##&,&##&开团时间&##&
&##&promotion.part_participation&##&,&##&部分参与&##&
&##&promotion.second&##&,&##&次&##&
&##&promotion.exclusion_node&##&,&##&排除节点&##&
&##&promotion.task_name&##&,&##&任务名称&##&
&##&操作账号&##&,&##&操作账号&##&
&##&promotion.the_value_of_the_package_price_is_less_than_the_retail_price&##&,&##&套餐价填写的值要小于零售价&##&
&##&预售&##&,&##&预售&##&
&##&京东满额促销提示&##&,&##&不支持会员类型、等级、及新老用户筛选；活动描述仅同步前5个字；叠加优惠仅同步第1个阶梯&##&
&##&promotion.the_total_number_of_individual_purchases_can_not_be_empty&##&,&##&个人限购总数不能为空&##&
&##&promotion.the_success_of_the_second_killing&##&,&##&秒杀活动创建成功&##&
&##&promotion.buy_and_sell_promotions&##&,&##&换购促销活动&##&
&##&查询促销概况配置osc-promTypeList失败&##&,&##&查询促销概况配置osc-promTypeList失败&##&
&##&promotion.more_than&##&,&##&超过&##&
&##&处理成功!&##&,&##&处理成功!&##&
&##&promotion.newly_added&##&,&##&新增&##&
&##&件,送以下&##&,&##&件,送以下&##&
&##&promotion.shear_selection&##&,&##&剪切选中内容&##&
&##&promotion.growth_value_distribution&##&,&##&成长值发放量&##&
&##&promotion.choice&##&,&##&选择&##&
&##&promotion.the_amount_of_direct_drop_can_not_be_empty&##&,&##&直降金额不能为空&##&
&##&promotion.do_you_decide_to_delete_it&##&,&##&确定删除吗&##&
&##&重复插入订单异常.&##&,&##&重复插入订单异常.&##&
&##&promotion.address&##&,&##&地址&##&
&##&promotion.store_single_channel_purchase&##&,&##&店铺单渠道限购&##&
&##&每满${X}元送赠品&##&,&##&每满${X}元送赠品&##&
&##&查询促销活动，限制规则异常&##&,&##&查询促销活动，限制规则异常&##&
&##&promotion.create_a_success_of_a_collage&##&,&##&创建拼团活动成功&##&
&##&promotion.pasting_and_filtering&##&,&##&粘贴过滤&##&
&##&promotion.list&##&,&##&列表&##&
&##&promotion.day&##&,&##&天&##&
&##&promotion.create_promotion_activities&##&,&##&创建推广活动&##&
&##&promotion.belonged_activities&##&,&##&所属活动&##&
&##&promotion.cancel_the_release&##&,&##&取消发布&##&
&##&promotion.offline_prize&##&,&##&线下奖品&##&
&##&promotion.rule_start_time&##&,&##&规则开始时间&##&
&##&系统忙，请稍后再试!&##&,&##&系统忙，请稍后再试!&##&
&##&promotion.active_marketing&##&,&##&主动营销&##&
&##&promotion.unrelated_bar_code&##&,&##&不关联条码&##&
&##&promotion.type_in_a_responsible_project&##&,&##&键入负责项目&##&
&##&promotion.enter_the_singer&##&,&##&输入歌手&##&
&##&promotion.a_mix_of_text_and_text&##&,&##&来个文字图文混排的&##&
&##&promotion.common_place&##&,&##&常用地点&##&
&##&promotion.jump_to&##&,&##&跳至&##&
&##&任务编号&##&,&##&任务编号&##&
&##&promotion.standard_color&##&,&##&标准颜色&##&
&##&promotion.order_time&##&,&##&下单时间&##&
&##&promotion.create_flash_sales_promotion&##&,&##&创建闪购促销活动&##&
