&##&promotion.look_at_the_gift&##&,&##&look at the gift&##&
&##&渠道已超出最大数量999&##&,&##&The channel has exceeded the maximum number of 999&##&
&##&promotion.method_to_determine_whether_there_is_content_in_the_editor&##&,&##&method to determine whether there is content in the editor&##&
&##&promotion.select_at_least_one_data&##&,&##&select at least one data&##&
&##&promotion.monday&##&,&##&monday&##&
&##&更新数据异常&##&,&##&Update data exception&##&
&##&当前奖品已被领取&##&,&##&The prize has been received&##&
&##&已关闭&##&,&##&Closed&##&
&##&promotion.create_a_second_kill&##&,&##&create a second kill&##&
&##&查询拼团活动详情异常.&##&,&##&Enquiries about group activities are abnormal.&##&
&##&promotion.yunnan&##&,&##&yunnan&##&
&##&promotion.merchant&##&,&##&merchant&##&
&##&promotion.template_export&##&,&##&template export&##&
&##&promotion.the_end_time_of_the_active_time_must_be_greater_than_the_start_time&##&,&##&the end time of the active time must be greater than the start time&##&
&##&promotion.laughing&##&,&##&laughing&##&
&##&promotion.cycle&##&,&##&cycle&##&
&##&promotion.fixed_price&##&,&##&fixed price&##&
&##&promotion.the_order_user_pays&##&,&##&the order user pays&##&
&##&promotion.reserved_quantity&##&,&##&reserved quantity&##&
&##&promotion.new_preferences&##&,&##&new preferences&##&
&##&promotion.determine_the_stock_of_goods_to_be_frozen_in_the_activity&##&,&##&determine the stock of goods to be frozen in the activity&##&
&##&奖项等级&##&,&##&Award level&##&
&##&promotion.total_number_of_activities_can_not_be_empty&##&,&##&total number of activities can not be empty&##&
&##&promotion.place_order_share_coupon&##&,&##&promotion.place_order_share_coupon&##&
&##&promotion.winning_time&##&,&##&winning time&##&
&##&promotion.arbitrary_order_draw&##&,&##&arbitrary order draw&##&
&##&商家信息校验不通过&##&,&##&Business information verification failed&##&
&##&promotion.the_number_of_reservations_must_be_a_positive_integer&##&,&##&the number of reservations must be a positive integer&##&
&##&promotion.longitudinal_selection&##&,&##&longitudinal selection&##&
&##&promotion.full_shipping&##&,&##&full shipping&##&
&##&promotion.group_name&##&,&##&group name&##&
&##&promotion.the_use_conditions_must_be_the_most&##&,&##&the use conditions must be the most&##&
&##&元,送以下任意&##&,&##&Yuan, send the following arbitrary&##&
&##&不可与促销活动叠加使用&##&,&##&Do not overlap with promotions &##&
&##&修改标签信息异常&##&,&##&Modify the label information exception.&##&
&##&报名设置商品列表导出,参数转换异常&##&,&##&Registration setting product list export, parameter conversion is abnormal&##&
&##&promotion.the_selection_mode_cannot_be_empty&##&,&##&the selection mode cannot be empty&##&
&##&优惠券编码不能为空&##&,&##&Coupon code can not be empty&##&
&##&返还&##&,&##&%s元=Return %s yuan&##&
&##&promotion.look_at_the_notes&##&,&##&look at the notes&##&
&##&请添加参加活动的商品&##&,&##&please add merchandise to the event&##&
&##&promotion.the_total_number_of_individual_purchases_must_not_exceed_the_inventory_restriction_of_activities&##&,&##&the total number of individual purchases must not exceed the inventory restriction of activities&##&
&##&promotion.thank_you_for_participation&##&,&##&thank you for participation&##&
&##&promotion.presell_down_price_not_null&##&,&##&presell down price not null&##&
&##&promotion.purchase_restrictions&##&,&##&purchase restrictions&##&
&##&promotion.promotion_name_cannot_be_empty&##&,&##&promotion name cannot be empty&##&
&##&promotion.query_nodes_must_exist&##&,&##&query nodes must exist&##&
&##&promotionCount不能为空&##&,&##&PromotionCount can not be empty.&##&
&##&提前终止选品异常&##&,&##&premature termination of selection exception&##&
&##&删除卡券活动失败：&##&,&##&Deletion of card voucher activity failed:&##&
&##&promotion.if_not_delivered_according_to_the_agreed_time&##&,&##&if not delivered according to the agreed time&##&
&##&promotion.limit&##&,&##&limit&##&
&##&promotion.to_be_audited&##&,&##&to be audited&##&
&##&查询促销商品scope异常&##&,&##&Query promotional item scope exception&##&
&##&promotion.i_love_milk&##&,&##&i love milk&##&
&##&promotion.the_starting_price_of_the_selected_commodity_is_too_large&##&,&##&the starting price of the selected commodity is too large&##&
&##&promotion.operation&##&,&##&operation&##&
&##&兑换码列表&##&,&##&Redemption code list&##&
&##&promotion.number_after_sharing&##&,&##&number after sharing&##&
&##&promotion.there_must_be_a_time_node&##&,&##&there must be a time node&##&
&##&promotion.query_grouping&##&,&##&query grouping&##&
&##&promotion.purchase_price&##&,&##&purchase price&##&
&##&promotion.the_lowest_price_of_the_selected_item_is_too_big&##&,&##&the lowest price of the selected item is too big&##&
&##&promotion.fixed_side_side&##&,&##&fixed side side&##&
&##&查询券活动异常&##&,&##&Query coupon activity exception&##&
&##&砍价失败&##&,&##&Failure to cut prices&##&
&##&promotion.gift_class&##&,&##&gift class&##&
&##&promotion.make_the_table_content_sort&##&,&##&make the table content sort&##&
&##&查询促销规则异常&##&,&##&query promotion rule exception&##&
&##&promotion.the_upper_limit_of_the_number_of_users_daily_prizes_can_not_be_empty&##&,&##&the upper limit of the number of users daily prizes can not be empty&##&
&##&promotion.incorrectly&##&,&##&incorrectly&##&
&##&promotion.gluttonous&##&,&##&gluttonous&##&
&##&promotion.help_users_generate_baidu_maps_under_visual_operations&##&,&##&help users generate baidu maps under visual operations&##&
&##&promotion.edit&##&,&##&edit&##&
&##&promotion.screenshot_upload_failure&##&,&##&screenshot upload failure&##&
&##&提交审核的活动的状态不正确&##&,&##&The status of the activity submitted for review is incorrect&##&
&##&promotion.order_has_been_paid&##&,&##&order has been paid&##&
&##&promotion.nanjing&##&,&##&nanjing&##&
&##&删除免单活动异常!&##&,&##&Delete free activity exception!&##&
&##&promotion.have_searched_the_head_of_the_article&##&,&##&have searched the head of the article&##&
&##&promotion.time_period&##&,&##&time period&##&
&##&promotion.participants&##&,&##&participants&##&
&##&套餐&##&,&##&combo&##&
&##&promotion.official_script&##&,&##&official script&##&
&##&promotion.end&##&,&##&end&##&
&##&查询会员限购field异常&##&,&##&Query member limit field exception&##&
&##&promotion.you_can_also_use_it&##&,&##&you can also use it&##&
&##&文件中的号码或输入的号码不能为空！&##&,&##&The number in the file or the number entered cannot be empty!&##&
&##&cut_price_icon_url&##&,&##&https://cdn.oudianyun.com/dev/back-promotion-web/1541504667762_22.766938766677335_ce8e2569-7474-4a2a-9d0a-5b99b182cd7f.png&##&
&##&当前奖品已过期&##&,&##&The prize has expired&##&
&##&副本&##&,&##&_copy&##&
&##&promotion.money_voucher&##&,&##&money voucher&##&
&##&promotion.fixed_amount&##&,&##&fixed amount&##&
&##&promotion.selection_classification&##&,&##&selection classification&##&
&##&promotion.please_try_another_key_word&##&,&##&please try another key word&##&
&##&促销价格或者限制信息异常：&##&,&##&Promotional price or restriction information is abnormal:&##&
&##&promotion.award_grade&##&,&##&award grade&##&
&##&导出券活动失败&##&,&##&Export coupon activity failed&##&
&##&promotion.agreement&##&,&##&agreement&##&
&##&promotion.the_random_amount_of_coupons_must_be_the_most&##&,&##&the random amount of coupons must be the most&##&
&##&promotion.revolving_to_the_left&##&,&##&revolving to the left&##&
&##&single_direct_drop_icon_url&##&,&##&https://cdn.oudianyun.com/dev/back-promotion-web/1541056596645_47.39077879039332_263f0a40-ab57-4e19-b4e3-13f2b3b45fe4.png&##&
&##&promotion.commodity_purchase_and_purchase_activities&##&,&##&commodity purchase and purchase activities&##&
&##&promotion.the_original_purchase_price&##&,&##&the original purchase price&##&
&##&promotion.clear_selection&##&,&##&clear selection&##&
&##&promotion.code&##&,&##&code&##&
&##&还差%s件，可享受促销优惠&##&,&##&Still lack %s piece,Can enjoy promotional offers&##&
&##&促销直降&##&,&##&Promotion straight down&##&
&##&报名活动id不能为空&##&,&##&Registration activity id cannot be empty&##&
&##&promotion.active_channel_join_condition&##&,&##&conditions of participation&##&
&##&promotion.attributes&##&,&##&attributes&##&
&##&promotion.conversion_rate&##&,&##&conversion rate&##&
&##&券明细列表导出,转码异常&##&,&##&The voucher list is exported and the transcoding is abnormal.&##&
&##&promotion.commodity_prices_are&##&,&##&commodity prices are&##&
&##&导出券明细列表失败&##&,&##&Export voucher list failed&##&
&##&promotion.the_number_of_single_order_limited_vouchers_should_be_limited_to&##&,&##&the number of single order limited vouchers should be limited to&##&
&##&promotion.place&##&,&##&place&##&
&##&promotion.rotate&##&,&##&rotate&##&
&##&promotion.stock&##&,&##&stock&##&
&##&promotion.character_descent&##&,&##&character descent&##&
&##&promotion.water&##&,&##&water&##&
&##&查询促销商品信息出错&##&,&##&Error in promotional sales information&##&
&##&promotion.stock_pressure_can_be_reduced_by_using_the_pre_sale_function&##&,&##&stock pressure can be reduced by using the pre sale function&##&
&##&查询优惠券出错&##&,&##&Query coupon error&##&
&##&promotion.whether_or_not_he_has_to_choose&##&,&##&whether or not he has to choose&##&
&##&找不到子品对应虚品&##&,&##&No children can find the product.&##&
&##&promotion.axis_consistency&##&,&##&axis consistency&##&
&##&promotion.deposit_payment_start_time_input_is_incorrect&##&,&##&deposit payment start time input is incorrect&##&
&##&每满%s件减%s元&##&,&##&¥%s off for every %s pcs&##&
&##&promotion.the_number_of_members_of_the_group_cannot_be_empty&##&,&##&the number of members of the group cannot be empty&##&
&##&promotion.full_recruitment&##&,&##&full recruitment&##&
&##&个字&##&,&##&A word&##&
&##&砍价活动时间异常&##&,&##&Abnormal timing of bargain activities&##&
&##&导入选品异常&##&,&##&Import option is abnormal&##&
&##&promotion.activity_start_time&##&,&##&activity start time&##&
&##&promotion.edge&##&,&##&edge&##&
&##&查询地区列表失败&##&,&##&Querying the list of regions failed&##&
&##&promotion.downwards_merge&##&,&##&downwards merge&##&
&##&promotion.do_you_confirm_that_the_activity_is_closed&##&,&##&do you confirm that the activity is closed&##&
&##&promotion.preferential_methods_include_full_volume_reduction_and_full_volume_discount&##&,&##&preferential methods include full volume reduction and full volume discount&##&
&##&promotion.red&##&,&##&red&##&
&##&promotion.user_cell_phone_number_input_is_illegal&##&,&##&user cell phone number input is illegal&##&
&##&promotion.the_input_of_the_total_number_of_individual_purchases_is_mistaken&##&,&##&the input of the total number of individual purchases is mistaken&##&
&##&查不到该促销活动&##&,&##&Can't find the promotion&##&
&##&promotion.single_donation_number&##&,&##&single donation number&##&
&##&获取奖项信息异常&##&,&##&Winning awards information exception&##&
&##&promotion.gift_coupon&##&,&##&gift coupon&##&
&##&promotion.clear_the_word_number&##&,&##&clear the word number&##&
&##&promotion.no_need&##&,&##&no need&##&
&##&promotion.please_apply_for_baidu_first&##&,&##&please apply for baidu first&##&
&##&砍价活动审核通过失败，&##&,&##&The bargaining activity failed to pass the audit.&##&
&##&promotion.setting_out_the_scope_of_the_goods&##&,&##&setting out the scope of the goods&##&
&##&promotion.set_the_ritual_gold_card_rules&##&,&##&set the ritual gold card rules&##&
&##&promotion.enter_your_desired_position_here&##&,&##&enter your desired position here&##&
&##&promotion.a_maximum_of_two_decimal_places_in_a_fixed_amount&##&,&##&a maximum of two decimal places in a fixed amount&##&
&##&promotion.associated_activity&##&,&##&associated activity&##&
&##&promotion.the_time_limit_buying_activity_by_setting_up_the_commodity_super_low_price&##&,&##&the time limit buying activity by setting up the commodity super low price&##&
&##&promotion.register&##&,&##&Register&##&
&##&promotion.additional_promotional_goods&##&,&##&additional promotional goods&##&
&##&更新免单活动状态出错&##&,&##&Update free activity status error&##&
&##&promotion.the_settlement_price_of_the_active_commodity_cannot_be_empty&##&,&##&the settlement price of the active commodity cannot be empty&##&
&##&promotion.key_entry_project_introduction&##&,&##&key entry project introduction&##&
&##&付%s元&##&,&##&Pay %s Yuan&##&
&##&promotion.popup&##&,&##&popup&##&
&##&promotion.collage_state&##&,&##&collage state&##&
&##&promotion.promotion_rules_cannot_be_empty&##&,&##&promotion rules cannot be empty&##&
&##&件送赠品&##&,&##&Gift giving&##&
&##&promotion.the_price_of_the_goods_is_not_empty.&##&,&##&the price of the goods is not empty.&##&
&##&promotion.upload&##&,&##&upload&##&
&##&promotion.theme_color&##&,&##&theme color&##&
&##&promotion.selected_site&##&,&##&selected site&##&
&##&promotion.store_number&##&,&##&store number&##&
&##&promotion.are_you_sure_you_want_to_delete_the_selected_items&##&,&##&are you sure you want to delete the selected items&##&
&##&promotion.ogle&##&,&##&ogle&##&
&##&promotion.large&##&,&##&large&##&
&##&promotion.file_type_is_not_allowed&##&,&##&file type is not allowed&##&
&##&promotion.current_grouping_intersection&##&,&##&current grouping intersection&##&
&##&promotion.share_pictures&##&,&##&share pictures&##&
&##&promotion.retry_uploading&##&,&##&retry uploading&##&
&##&promotion.use_records&##&,&##&use records&##&
&##&promotion.the_promotion_rules_must_be_the_most&##&,&##&the promotion rules must be the most&##&
&##&promotion.trial_rules&##&,&##&trial rules&##&
&##&promotion.delete_the_name_of_the_table&##&,&##&delete the name of the table&##&
&##&查询不到代理商等级&##&,&##&Cannot find agent level&##&
&##&promotion.on_trial&##&,&##&on trial&##&
&##&第%s件&##&,&##&Part %s&##&
&##&查询促销详细配置异常&##&,&##&Query sales promotion detailed configuration exception&##&
&##&promotion.online_picture&##&,&##&online picture&##&
&##&类目&##&,&##&Category&##&
&##&promotion.no_authority&##&,&##&no authority&##&
&##&promotion.this_activity_only_supports_one_merchant&##&,&##&this activity only supports one merchant&##&
&##&promotion.the_upper_limit_of_the_number_of_awards&##&,&##&the upper limit of the number of awards&##&
&##&promotion.time_for_group_buying_activities&##&,&##&time for group buying activities&##&
&##&promotion.whether_the_editor_gets_the_focus&##&,&##&whether the editor gets the focus&##&
&##&promotion.create_enrolment&##&,&##&create enrolment&##&
&##&promotion.new_and_old_users_have_to_choose&##&,&##&new and old users have to choose&##&
&##&promotion.an_arbitrary_picture_must_be_passed&##&,&##&an arbitrary picture must be passed&##&
&##&promotion.paste_address&##&,&##&paste address&##&
&##&promotion.upgrade_target&##&,&##&upgrade target&##&
&##&promotion.please_fill_in_it_carefully&##&,&##&please fill in it carefully&##&
&##&promotion.date_of_card&##&,&##&date of card&##&
&##&无可追加商品&##&,&##&No additional items&##&
&##&promotion.activity_label&##&,&##&activity label&##&
&##&promotion.the_first_step&##&,&##&the first step&##&
&##&promotion.use_of_voucher_type&##&,&##&use of voucher type&##&
&##&promotion.haggle_time&##&,&##&haggle time&##&
&##&promotion.one_cannot_choose_more_than_one&##&,&##&one cannot choose more than one&##&
&##&promotion.the_picture_on_the_right_is_the_picture&##&,&##&the picture on the right is the picture&##&
&##&promotion.low_price_input_is_mistaken&##&,&##&low price input is mistaken&##&
&##&promotion.enter_your_address&##&,&##&enter your address&##&
&##&promotion.zhangjiang_hotel&##&,&##&zhangjiang hotel&##&
&##&砍价单状态信息不正确&##&,&##&The price information is incorrect.&##&
&##&promotion.market_value&##&,&##&market value&##&
&##&promotion.a_total_replacement&##&,&##&a total replacement&##&
&##&券活动分页，查询领／用券张数异常&##&,&##&Coupon activity paging, query number / ticket number exception&##&
&##&promotion.edit_prompt&##&,&##&edit prompt&##&
&##&promotion.enter&##&,&##&enter&##&
&##&promotion.sweat&##&,&##&sweat&##&
&##&众筹活动设置促销规则异常&##&,&##&The crowdfunding campaign set abnormal promotion rules&##&
&##&版&##&,&##&version&##&
&##&promotion.front&##&,&##&front&##&
&##&promotion.starting_price&##&,&##&starting price&##&
&##&promotion.file_size_beyond_the_limit&##&,&##&file size beyond the limit&##&
&##&promotion.no_promotion_type&##&,&##&no promotion type&##&
&##&promotion.activity_name&##&,&##&activity name&##&
&##&promotion.the_interval_of_query_time_is_not_more_than_one_month&##&,&##&the interval of query time is not more than one month&##&
&##&promotion.the_active_channel_must_be_selected&##&,&##&activity channels must be selected&##&
&##&promotion.load_failure&##&,&##&load failure&##&
&##&满%s件送赠品,还差%s件&##&,&##&Free gift for %s pcs, %s pcs short&##&
&##&满%s元可换购商品,还差%s元&##&,&##&Redemption available for orders ¥%s+,¥%s short&##&
&##&promotion.volume_setting_and_price_can_not_be_empty&##&,&##&volume setting and price can not be empty&##&
&##&promotion.promotional_goods_cannot_be_empty&##&,&##&promotional goods cannot be empty&##&
&##&第${X}件${Y}折&##&,&##&${YP_OFF}% off for ${XTH} pc&##&
&##&promotion.full_price_reduction&##&,&##&full price reduction&##&
&##&promotion.save_success&##&,&##&save success&##&
&##&promotion.new_label_success&##&,&##&new label success&##&
&##&promotion.extract&##&,&##&extract&##&
&##&查询促销选品异常&##&,&##&Query promotion options are abnormal&##&
&##&promotion.province&##&,&##&province&##&
&##&promotion.the_visible_rich_text_developed_by_the_front-end_research_and_development_department&##&,&##&the visible rich text developed by the front-end research and development department&##&
&##&promotion.successfully_uploaded&##&,&##&successfully uploaded&##&
&##&查询优惠券列表出错&##&,&##&Error querying coupon list&##&
&##&promotion.table_drag_must_be_introduced&##&,&##&table drag must be introduced&##&
&##&promotion.valid_time_of_coupons&##&,&##&valid time of coupons&##&
&##&查询优惠券明细异常&##&,&##&Query coupon exception&##&
&##&promotion.data_processing_anomaly&##&,&##&data processing anomaly&##&
&##&推荐码活动创建成功&##&,&##&Recommendation code activity created successfully&##&
&##&promotion.within_a_character&##&,&##&within a character&##&
&##&promotion.the_limit_of_the_price_of_the_stock_can_not_be_empty&##&,&##&the limit of the price of the stock can not be empty&##&
&##&promotion.pre_sale_price_input_is_wrong&##&,&##&pre sale price input is wrong&##&
&##&promotion.discount_coefficient&##&,&##&discount coefficient&##&
&##&promotion.cut_down_activity_to_create_success&##&,&##&cut down activity to create success&##&
&##&promotion.do_you_decide_whether_to_delete&##&,&##&do you decide whether to delete&##&
&##&不可与促销活动、优惠券叠加使用&##&,&##&Do not overlap with promotions or coupons &##&
&##&promotion.whether_or_not_to_overlay_the_application&##&,&##&whether or not to overlay the application&##&
&##&promotion.number_of_participants&##&,&##&number of participants&##&
&##&%s元&##&,&##&%s element&##&
&##&promotion.the_end_time_of_the_registration_is_not_empty&##&,&##&the end time of the registration is not empty&##&
&##&promotion.deposit_model_two_stage&##&,&##&Deposit (payment for two stages of fixed gold and tail money)&##&
&##&promotion.link_address&##&,&##&link address&##&
&##&promotion.make_the_editor_focus&##&,&##&make the editor focus&##&
&##&promotion.related_promotion_type&##&,&##&related promotion type&##&
&##&promotion.just&##&,&##&just&##&
&##&promotion.file_transfer_interruption&##&,&##&file transfer interruption&##&
&##&限输入30个字&##&,&##&Limited to 30 words&##&
&##&促销活动状态变更，无法冻结此促销活动商品&##&,&##&Promotion status changes, this promotion item cannot be frozen&##&
&##&查询赠品列表异常&##&,&##&query gift list exception&##&
&##&promotion.select_the_lowest_price_to_set_the_input_is_incorrect&##&,&##&select the lowest price to set the input is incorrect&##&
&##&查询用户类型列表出错&##&,&##&Error querying user type list&##&
&##&礼金卡卡号&##&,&##&Gift card number&##&
&##&promotion.the_success_of_collage_activities&##&,&##&the success of collage activities&##&
&##&promotion.no_end_time&##&,&##&no end time&##&
&##&promotion.query_results_show&##&,&##&query results show&##&
&##&promotion.remove_the_failed_file&##&,&##&remove the failed file&##&
&##&promotion.woman_matchmaker&##&,&##&woman matchmaker&##&
&##&promotion.after_sharing,_the_number_of_numbers_must_be_positive_integers&##&,&##&after sharing, the number of numbers must be positive integers&##&
&##&promotion.success_of_flash_purchase&##&,&##&success of flash purchase&##&
&##&promotion.contact_information&##&,&##&contact information&##&
&##&活动报名ID不能为空&##&,&##&Event registration ID cannot be empty&##&
&##&promotion.doze&##&,&##&doze&##&
&##&每满${X}件付${Y}件&##&,&##&Enjoy price of ${Y} pc${YS} for every ${X} pc${XS}&##&
&##&更新拼团活动数据异常&##&,&##&Update group activity data exception&##&
&##&promotion.here_can_be_many_lines&##&,&##&here can be many lines&##&
&##&promotion.if_the_order_is_purchased&##&,&##&if the order is purchased&##&
&##&promotion.collage_activity_name&##&,&##&collage activity name&##&
&##&查询券种列表异常&##&,&##&Check list abnormal&##&
&##&promotion.the_fixed_amount_can_not_be_empty&##&,&##&the fixed amount can not be empty&##&
&##&promotion.the_content_of_the_update_can_not_be_completely_empty&##&,&##&the content of the update can not be completely empty&##&
&##&promotion.male_pocket&##&,&##&male pocket&##&
&##&promotion.type_the_title_of_the_article&##&,&##&type the title of the article&##&
&##&promotion.full_upgrade&##&,&##&full upgrade&##&
&##&promotion.manual&##&,&##&manual&##&
&##&promotion.source_code&##&,&##&source code&##&
&##&生券日期&##&,&##&Date of coupon&##&
&##&promotion.early-warning_inventory_value&##&,&##&early-warning inventory value&##&
&##&代理商限制规则为空&##&,&##&Agent restriction rule is empty&##&
&##&promotion.price_reduction_is_not_higher_than_the_original_price&##&,&##&price reduction is not higher than the original price&##&
&##&promotion.in_a_cage&##&,&##&in a cage&##&
&##&promotion.freight_coupon&##&,&##&freight coupon&##&
&##&promotion.promotional_coupons&##&,&##&promotional coupons&##&
&##&查询不到卡券活动异常!&##&,&##&I can't find the card ticket activity abnormally!&##&
&##&promotion.tail_payment_start_time_input_is_incorrect&##&,&##&tail payment start time input is incorrect&##&
&##&promotion.more_details&##&,&##&more details&##&
&##&promotion.japanese_characters&##&,&##&japanese characters&##&
&##&promotion.recommender_valid_start_time&##&,&##&recommender valid start time&##&
&##&promotion.activity_intensity&##&,&##&activity intensity&##&
&##&促销赠品总数超过限制.&##&,&##&the total number of promotional gifts exceeds the limit.&##&
&##&每第${X}件${Y}折&##&,&##&${YP_OFF}% off for every ${XTH} pc&##&
&##&查询DM促销活动异常&##&,&##&query DM promotion exception&##&
&##&promotion.character_ascent&##&,&##&character ascent&##&
&##&promotion.rebate_member_cell_phone_number&##&,&##&rebate member cell phone number&##&
&##&promotion.video&##&,&##&video&##&
&##&promotion.do_you_confirm_whether_to_delete_this_combination&##&,&##&do you confirm whether to delete this combination&##&
&##&还差&##&,&##&still poor&##&
&##&promotion.combined_direct_drop_promotion&##&,&##&combined direct drop promotion&##&
&##&promotion.discount_limit&##&,&##&discount limit&##&
&##&promotion.cancellation_of_the_constituency_background&##&,&##&cancellation of the constituency background&##&
&##&promotion.payment_method&##&,&##&payment method&##&
&##&券活动ID不能为空&##&,&##&Voucher activity ID cannot be empty&##&
&##&promotion.the_deposit_is_not_greater_than_the_pre_sale_price&##&,&##&the deposit is not greater than the pre sale price&##&
&##&promotion.export&##&,&##&export&##&
&##&promotion.delete_table_headings&##&,&##&delete table headings&##&
&##&promotion.within_the_total_number_of_individual_purchases&##&,&##&within the total number of individual purchases&##&
&##&计量单位&##&,&##&unit of measurement&##&
&##&promotion.postage&##&,&##&postage&##&
&##&免单记录列表&##&,&##&Free record list&##&
&##&为生券查询券活动面额信息出错&##&,&##&Error in denomination of voucher voucher activity&##&
&##&promotion.hourly_unorganized_automatic_regiment&##&,&##&hourly unorganized automatic regiment&##&
&##&promotion.remove_from_the_upload_queue&##&,&##&remove from the upload queue&##&
&##&您有一个未成团的团单，快邀请好友参与吧~&##&,&##&You have a regiment list that has not been formed. Invite your friends to join us.&##&
&##&promotion.browse_files&##&,&##&browse files&##&
&##&promotion.the_total_number_of_activities_must_be_a_positive_integer&##&,&##&the total number of activities must be a positive integer&##&
&##&promotion.please_input_the_correct_percentage&##&,&##&please input the correct percentage&##&
&##&没有商家的操作权限&##&,&##&There is no merchant operating authority&##&
&##&promotion.promotional_gift_setting&##&,&##&promotional gift setting&##&
&##&promotion.active_registration_page&##&,&##&active registration page&##&
&##&promotion.a_single_number_of_single_accounts_must_be_positive_integers&##&,&##&a single number of single accounts must be positive integers&##&
&##&拼团活动不支持此平台&##&,&##&Group activities do not support this platform.&##&
&##&promotion.rule_of_return&##&,&##&rule of return&##&
&##&promotion.current_input_has_been_entered&##&,&##&current input has been entered&##&
&##&每满${X}元减${Y}元&##&,&##&¥${Y} off for every ¥${X} of your order&##&
&##&promotion.group_notes&##&,&##&group notes&##&
&##&预热时间需为正整数&##&,&##&Warm-up time must be a positive integer&##&
&##&拼团商品数量不能为空&##&,&##&The number of products can not be empty.&##&
&##&promotion.bit_decimal&##&,&##&bit decimal&##&
&##&promotion.custom_title&##&,&##&custom title&##&
&##&promotion.create_a_collage_activity&##&,&##&create a collage activity&##&
&##&promotion.shut_up&##&,&##&shut up&##&
&##&promotion.application_time&##&,&##&application time&##&
&##&promotion.pre_inserted_paragraph&##&,&##&pre inserted paragraph&##&
&##&promotion.please_select_the_goods_to_be_deleted&##&,&##&please select the goods to be deleted&##&
&##&promotion.the_time_setting_at_the_last_time_is_wrong&##&,&##&the time setting at the last time is wrong&##&
&##&promotion.macao&##&,&##&macao&##&
&##&promotion.platform_coupons_can_be_superimposed_on_self_vouchers_and_other_merchant_vouchers&##&,&##&platform coupons can be superimposed on self vouchers and other merchant vouchers&##&
&##&promotion.batch_deleting&##&,&##&batch deleting&##&
&##&promotion.tuzki&##&,&##&tuzki&##&
&##&promotion.no_data&##&,&##&no data&##&
&##&promotion.circulation&##&,&##&circulation&##&
&##&promotion.tail_payment_time&##&,&##&tail payment time&##&
&##&promotion.cancel_uploading&##&,&##&cancel uploading&##&
&##&promotion.eat&##&,&##&eat&##&
&##&promotion.please_upload_the_size_of_the_picture_to_be&##&,&##&please upload the size of the picture to be&##&
&##&查询促销活动列表异常&##&,&##&query promotion list exception&##&
&##&promotion.trial_limit&##&,&##&trial limit&##&
&##&promotion.ritual_gold_card_rules&##&,&##&ritual gold card rules&##&
&##&promotion.start_delivery_time&##&,&##&start delivery time&##&
&##&promotion.the_total_amount_of_circulation_can_not_be_empty&##&,&##&the total amount of circulation can not be empty&##&
&##&promotion.setting_up_marketing_information&##&,&##&setting up marketing information&##&
&##&promotion.single_management&##&,&##&single management&##&
&##&promotion.the_user&##&,&##&the user&##&
&##&promotion.meet&##&,&##&meet&##&
&##&没有找到参与砍价的商品ID&##&,&##&No ID found in the bargain price&##&
&##&promotion.upgrade_object&##&,&##&upgrade object&##&
&##&promotion.scavenging_redundancy&##&,&##&scavenging redundancy&##&
&##&promotion.create_payment_promotions&##&,&##&create payment promotions&##&
&##&promotion.uploading_attachments&##&,&##&uploading attachments&##&
&##&promotion.the_periodic_value_must_be_a_positive_integer&##&,&##&the periodic value must be a positive integer&##&
&##&promotion.application_order_number&##&,&##&application order number&##&
&##&promotion.use_time&##&,&##&use time&##&
&##&promotion.do_you_confirm_the_batch_deleting_of_the_store&##&,&##&do you confirm the batch deleting of the store&##&
&##&promotion.tomatoes&##&,&##&tomatoes&##&
&##&promotion.the_whip&##&,&##&the whip&##&
&##&promotion.setting_tables_can_be_sorted&##&,&##&setting tables can be sorted&##&
&##&promotion.single_rule&##&,&##&single rule&##&
&##&当前状态的优惠券不能进行分享&##&,&##&Coupons for current status can not be shared.&##&
&##&promotion.set_the_selected_word_to_be_thickened&##&,&##&set the selected word to be thickened&##&
&##&promotion.june&##&,&##&june&##&
&##&砍价截止价&##&,&##&Bargaining price&##&
&##&promotion.ritual_gold_card_list&##&,&##&ritual gold card list&##&
&##&promotion.binding_cell_phone_number&##&,&##&binding cell phone number&##&
&##&promotion.kiss&##&,&##&kiss&##&
&##&查询操作流失异常!&##&,&##&Query operation loss is abnormal!&##&
&##&promotion.pre_sale_type&##&,&##&pre sale type&##&
&##&积分商城活动详情&##&,&##&Points Mall Event Details&##&
&##&promotion.main_product_group&##&,&##&main product group&##&
&##&promotion.start_time&##&,&##&start time&##&
&##&promotion.smashed&##&,&##&smashed&##&
&##&promotion.pictures_of_active_goods&##&,&##&pictures of active goods&##&
&##&promotion.graffiti_uploading&##&,&##&graffiti uploading&##&
&##&promotion.create_the_limit_purchase_rules&##&,&##&create the limit purchase rules&##&
&##&promotion.jump&##&,&##&jump&##&
&##&promotion.online_attachments&##&,&##&online attachments&##&
&##&promotion.element&##&,&##&element&##&
&##&promotion.longitudinal_repetition&##&,&##&longitudinal repetition&##&
&##&查询阶梯赠品列表出错&##&,&##&Query ladder giveaway list error&##&
&##&活动时间冲突，请更改活动时间&##&,&##&activity time conflict, change activity time&##&
&##&中文版&##&,&##&Chinese version&##&
&##&promotion.the_bottom_line_is_not_higher_than_the_starting_price&##&,&##&the bottom line is not higher than the starting price&##&
&##&promotion.browser&##&,&##&browser&##&
&##&此商品不在此活动中&##&,&##&This item is not in this event&##&
